epoch,step,loss,acc,f1
1,100,0.001943,0.761445,0.765403
1,200,0.000646,0.908047,0.908035
1,300,0.00055,0.916445,0.916238
1,351,0.000505,0.923445,0.923363
2,100,0.000442,0.93123,0.931211
2,200,0.000401,0.937012,0.936897
2,300,0.000397,0.936641,0.936684
2,351,0.000392,0.938113,0.938026
3,100,0.000337,0.946211,0.946111
3,200,0.000337,0.945117,0.945165
3,300,0.000331,0.946836,0.946776
3,351,0.00032,0.948989,0.948997
