,预测: finance,预测: realty,预测: stocks,预测: education,预测: science,预测: society,预测: politics,预测: sports,预测: game,预测: entertainment
真实: finance,923,10,38,2,9,6,10,1,0,1
真实: realty,9,941,14,2,5,13,9,2,2,3
真实: stocks,38,14,904,1,24,0,15,1,0,3
真实: education,1,1,1,966,2,13,9,1,0,6
真实: science,1,1,15,4,930,13,12,0,15,9
真实: society,0,5,1,13,5,948,19,0,1,8
真实: politics,5,3,22,10,12,14,932,0,0,2
真实: sports,2,3,1,0,1,3,1,981,0,8
真实: game,0,1,1,1,36,5,1,1,950,4
真实: entertainment,0,1,0,6,10,3,3,9,3,965
